Ward ID,Sub County ID,Ward Name
1065,83,Ntharene
958,50,Nthawa
1436,124,Ntimaru
1040,79,Ntirimiti
1035,79,Ntugi
991,68,Nunguni
975,4415,Nuu
1417,116,Nyabigege
1435,124,Nyabohanze
1420,117,Nyacheki
1415,116,Nyachenge
1318,138,Nyadorera
1367,121,Nyahera
1530,160,Nyahururu
595,122,Nyakach
1405,115,Nyakoe
1372,122,Nyakwere
1361,120,Nyalenda
903,4408,Nyali 
592,119,Nyamache
1432,125,Nyamaharaga
1389,113,Nyamarambe
1358,120,Nyamasaria
606,133,Nyamira
1429,125,Nyamtiro
1401,115,Nyanchwa
527,22,Nyandarua Central
528,23,Nyandarua North
529,24,Nyandarua South
530,25,Nyandarua West
596,123,Nyando
1421,117,Nyangusu
1329,106,Nyangweso
1451,130,Nyansiongo
1390,113,Nyaramba
600,127,Nyatike
532,30,Nyeri East
783,29,Nyeri Town
1307,137,Nyilima
1316,138,Nyiya
995,73,Nzaui
561,73,Nzaui
1156,195,Nzoia
1003,57,Nzombe
1012,4433,Obbu
1011,4433,Odda
1232,4431,Ogalo
1388,112,Ogembo
1341,109,Ogongo
1382,4449,Ojola
1448,128,Okenge
1336,108,Okok
1330,106,Olare
1548,25,Ol Jororok
1547,22,Ol Kalou
1552,173,Ololunga
1566,151,Oloolotikoshi
1574,4466,Oltepesi
1583,4467,Ongata Rongai
1378,4449,Ontonglo
1443,128,Opapo
1447,128,Otati
813,31,Othaya
653,4377,Otiende 
1489,188,Outspan
1306,137,Oyude
1351,110,Oyugis
643,4376,Pangani
1369,122,Pap Onditi
647,4376,Parklands
1384,4449,Paw Akuche
756,13,Pia
1488,188,Pioneer
1175,4439,Portreitz
1208,198,Port Victoria
927,4412,Rabai
1357,120,Rabuor
1603,4477,Racecourse
583,110,Rachuonyo North
584,111,Rachuonyo South
1312,137,Ragengni
850,100,Ramu
774,26,Ramuria
1440,127,Ranen
1326,4448,Rangala
1333,106,Rangwe
1441,4451,Rapogi
609,137,Rarieda
1340,108,Ratanga
1177,4439,Refinery
1345,109,Remba
964,51,Riakanaumakima
1365,121,Riat
1352,110,Ringa
1392,113,Riosiri
660,4378,Riruta
1332,106,Rodi
1569,153,Rombo
601,128,Rongo
1511,146,Roret
637,4375,Roysambu
687,4382,Ruaka
638,4375,Ruaraka
1052,82,Ruiri
697,8,Ruiru
1522,158,Rumuruti
644,4376,Runda
939,48,Runyenjes
784,29,Ruringu
1344,109,Rusinga
1119,193,Sabana
735,19,SabaSaba
1253,204,Sabatia Junction
1287,4444,Sabatia Town
764,15,Sagana
920,35,Samburu
1396,4450,Sameta
1158,195,Sangalo
1455,133,Sanganyi
1198,196,Sango
862,213,Sankuri
1321,4447,Sawagongo
1169,41,Sega
1328,4448,Sega Siaya
1615,4472,Segero Barsombe
1288,211,Serem
1609,4474,Sergoit
1289,211,Shamakhokho
906,4408,Shanzu
911,4409,Shelly Beach
1245,203,Shianda
1248,203,Shibale
912,4409,Shika Adabu
1148,194,Shikhendu
1166,41,Shimanzi
919,4410,Shimoni
1280,206,Shinyalu
956,50,Siakago
610,138,Siaya
1325,4448,Sidindi
1268,208,Sigalagala
1269,208,Sigalagala junction
1153,195,Sigalame
705,3,Sigona
1491,190,Sigor
1504,4456,Sigor in Bomet
1108,192,Sikata
1628,4479,Sikhendu
1353,110,Sikri
1105,192,Sikusi
1601,4473,Simat Kapseret
1343,109,Sindo
1219,200,Sio Port
1134,193,Sipala
1523,158,Sipili
1099,192,Sirare
1629,4479,Sirende
1529,159,Sirima
1195,196,Sirisia
1186,195,Siritanyi
1127,193,Sitikho
1215,199,Sofia
913,4409,Soko Mjinga
1009,4433,Sololo
1373,122,Sondu
1472,170,Songhor
1438,127,Sori
1513,4458,Sosiot
1505,147,Sotik
627,4372,South B
657,4377,South C
1616,4472,soy
639,4376,Starehe
582,109,Suba
1027,53,Subuiga
1544,4464,Subukia
1190,195,Sudi
1418,116,Suneka
1550,172,Suswa
1393,113,Tabaka
543,42,Taita
848,101,Takaba
930,32,Takaungu
544,46,Tana Delta
1241,4432,Tanga Kona
1623,4475,Tapsagoi
1604,4477,Tarakwa
1428,125,Taranganya
889,46,Tarasaa
822,4407,Tarbaj
921,35,Taru
791,43,Taveta
1610,4474,Tembelio
1095,192,Teremi
1117,193,Tete
932,32,Tezo
575,88,Tharaka North
703,10,Thika
1053,82,Thimangiri
573,86,Tigania East
574,87,Tigania West
1033,79,Timau
1470,170,Tinderet
1578,4466,Tinga
1237,4431,Tingolo
1118,193,T Junction
867,97,Tokajo
694,8,Toll
1144,194,Tongaren
616,171,Trans Mara
1004,4420,Tseikuru
1170,41,Tudor
1200,196,Tulienge
1605,4477,Tulwet Chuiyat
1015,75,Turbi
1593,4471,Uasin Gishu
1327,4448,Ugunja
973,4415,Ukasi
916,4410,Ukunda
1064,83,Ukuu
1315,4446,Ukwala
631,4373,Umoja
716,4380,Uplands
1023,77,Uran
602,129,Uriri
1081,87,Urru
1305,136,Usenge
905,4408,Utange
709,3,Uthiru
918,4410,Vanga
1298,212,Vihiga Centre
935,32,Vipingo
801,4393,Voi
1320,4447,Wagai
970,56,Waita
1630,4479,Waitaluk
661,4378,Waithaka
842,102,Wajir Bor
827,105,Wajir Township
804,4388,Wamagana
1459,175,Wamba
762,14,Wamumu
708,3,Wangige
759,14,Wanguru
854,98,Wargadud
879,33,Watamu
772,26,Watuka
1111,193,Webuye
1592,4470,Wemilabi
1580,47,Wenje
793,42,Werugha
1266,207,West Kenya
579,93,Westlands
664,93,Westlands
656,4377,Wilson airport
702,10,Witeithie
887,39,Witu
655,4377,Woodley
990,69,Wote
792,42,Wundanyi Town
1323,4447,Yala
1138,193,Yalusi
1617,4472,Ziwa
1173,41,Ziwani
